freq,psd_x,psd_y,psd_z,psd_xyz
81.0,8.400e+03,2.024e+04,2.209e+04,5.072e+04
82.5,6.817e+03,1.618e+04,2.196e+04,4.495e+04
84.0,5.056e+03,1.296e+04,1.865e+04,3.666e+04
85.5,3.824e+03,1.262e+04,1.418e+04,3.062e+04
86.9,2.688e+03,1.574e+04,8.331e+03,2.676e+04
88.4,2.242e+03,1.983e+04,6.009e+03,2.808e+04
89.9,1.980e+03,2.659e+04,6.023e+03,3.459e+04
91.4,2.391e+03,3.116e+04,6.584e+03,4.014e+04
92.8,2.971e+03,3.218e+04,4.611e+03,3.976e+04
94.3,3.647e+03,4.138e+04,3.571e+03,4.860e+04
95.8,4.189e+03,4.643e+04,2.732e+03,5.335e+04
97.3,3.962e+03,3.492e+04,1.913e+03,4.079e+04
98.7,3.928e+03,2.139e+04,1.817e+03,2.713e+04
100.2,4.023e+03,1.669e+04,1.724e+03,2.244e+04
101.7,3.690e+03,1.484e+04,1.490e+03,2.002e+04
103.1,3.778e+03,1.709e+04,1.646e+03,2.252e+04
104.6,3.488e+03,1.933e+04,1.651e+03,2.447e+04
106.1,3.008e+03,1.955e+04,1.688e+03,2.425e+04
107.6,3.325e+03,1.809e+04,1.606e+03,2.303e+04
109.0,4.616e+03,1.583e+04,1.185e+03,2.163e+04
110.5,5.444e+03,1.653e+04,1.026e+03,2.301e+04
112.0,6.148e+03,1.495e+04,1.041e+03,2.214e+04
113.5,8.424e+03,1.394e+04,1.361e+03,2.373e+04
114.9,8.615e+03,1.213e+04,1.718e+03,2.246e+04
116.4,9.522e+03,1.182e+04,2.331e+03,2.367e+04
117.9,1.169e+04,1.508e+04,2.867e+03,2.964e+04
119.4,1.583e+04,1.880e+04,3.649e+03,3.828e+04
120.8,2.060e+04,2.276e+04,4.759e+03,4.813e+04
122.3,2.485e+04,3.683e+04,5.671e+03,6.735e+04
123.8,9.214e+04,2.250e+05,1.960e+04,3.368e+05
125.3,2.518e+05,5.842e+05,5.148e+04,8.874e+05
126.7,1.143e+05,2.256e+05,2.766e+04,3.675e+05
128.2,4.718e+04,4.195e+04,1.586e+04,1.050e+05
129.7,4.002e+04,2.603e+04,1.284e+04,7.889e+04
131.1,2.294e+04,1.777e+04,6.963e+03,4.768e+04
132.6,1.064e+04,1.432e+04,3.398e+03,2.835e+04
134.1,7.567e+03,1.037e+04,2.407e+03,2.035e+04
135.6,5.248e+03,7.113e+03,1.842e+03,1.420e+04
137.0,3.706e+03,5.183e+03,1.514e+03,1.040e+04
138.5,3.599e+03,4.518e+03,1.602e+03,9.719e+03
140.0,3.431e+03,3.610e+03,1.752e+03,8.793e+03
141.5,2.997e+03,3.190e+03,1.629e+03,7.816e+03
142.9,2.999e+03,2.729e+03,1.535e+03,7.263e+03
144.4,2.907e+03,2.878e+03,1.714e+03,7.499e+03
145.9,3.116e+03,2.976e+03,1.794e+03,7.885e+03
147.4,3.244e+03,2.799e+03,1.685e+03,7.728e+03
148.8,2.587e+03,2.334e+03,1.710e+03,6.631e+03
150.3,1.983e+03,1.799e+03,1.402e+03,5.184e+03
151.8,2.421e+03,1.848e+03,1.798e+03,6.066e+03
153.3,2.578e+03,1.765e+03,1.918e+03,6.261e+03
154.7,2.070e+03,1.557e+03,1.636e+03,5.263e+03
156.2,2.065e+03,1.590e+03,1.825e+03,5.480e+03
157.7,1.893e+03,1.710e+03,1.772e+03,5.375e+03
159.1,1.542e+03,1.432e+03,1.682e+03,4.656e+03
160.6,1.256e+03,1.331e+03,1.498e+03,4.085e+03
162.1,1.530e+03,1.573e+03,1.913e+03,5.016e+03
163.6,1.666e+03,1.615e+03,1.932e+03,5.213e+03
165.0,1.742e+03,1.741e+03,2.263e+03,5.746e+03
166.5,2.296e+03,1.954e+03,2.125e+03,6.375e+03
168.0,2.439e+03,2.170e+03,1.932e+03,6.540e+03
169.5,2.280e+03,2.002e+03,1.778e+03,6.060e+03
170.9,2.634e+03,1.732e+03,1.852e+03,6.218e+03
172.4,3.073e+03,1.651e+03,1.931e+03,6.655e+03
173.9,3.841e+03,2.227e+03,1.889e+03,7.957e+03
175.4,5.088e+03,2.550e+03,2.215e+03,9.854e+03
176.8,5.190e+03,1.925e+03,1.958e+03,9.073e+03
178.3,6.745e+03,1.994e+03,2.406e+03,1.115e+04
179.8,6.245e+03,1.973e+03,2.614e+03,1.083e+04
181.2,5.005e+03,1.917e+03,2.895e+03,9.816e+03
182.7,4.388e+03,2.209e+03,3.738e+03,1.034e+04
184.2,3.463e+03,2.586e+03,4.344e+03,1.039e+04
185.7,2.938e+03,2.348e+03,4.591e+03,9.876e+03
187.1,2.651e+03,1.625e+03,4.074e+03,8.349e+03
188.6,3.721e+03,1.657e+03,5.377e+03,1.075e+04
190.1,4.466e+03,2.217e+03,6.632e+03,1.332e+04
191.6,4.764e+03,1.963e+03,6.694e+03,1.342e+04
193.0,5.309e+03,1.715e+03,4.563e+03,1.159e+04
194.5,5.881e+03,1.516e+03,3.627e+03,1.102e+04
196.0,5.829e+03,1.034e+03,2.197e+03,9.060e+03
197.5,5.154e+03,9.199e+02,1.618e+03,7.692e+03
198.9,3.429e+03,7.275e+02,1.693e+03,5.849e+03
