freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.819e+02,1.412e+02,8.819e+01,5.112e+02
1.5,1.420e+03,3.991e+02,4.215e+02,2.241e+03
2.9,1.748e+03,4.120e+02,5.096e+02,2.670e+03
4.4,1.606e+03,4.885e+02,4.372e+02,2.532e+03
5.9,1.773e+03,9.256e+02,4.549e+02,3.154e+03
7.4,2.191e+03,1.343e+03,6.331e+02,4.167e+03
8.8,2.695e+03,1.613e+03,7.694e+02,5.078e+03
10.3,3.163e+03,1.919e+03,9.041e+02,5.987e+03
11.8,4.037e+03,2.185e+03,1.168e+03,7.390e+03
13.3,4.257e+03,2.949e+03,1.219e+03,8.425e+03
14.7,3.915e+03,3.122e+03,1.128e+03,8.165e+03
16.2,3.770e+03,2.419e+03,1.057e+03,7.245e+03
17.7,2.743e+03,2.238e+03,8.155e+02,5.797e+03
19.2,2.442e+03,2.295e+03,7.069e+02,5.444e+03
20.6,2.783e+03,2.682e+03,7.665e+02,6.231e+03
22.1,3.233e+03,3.364e+03,8.161e+02,7.413e+03
23.6,3.107e+03,3.570e+03,7.313e+02,7.409e+03
25.1,2.351e+03,4.312e+03,4.830e+02,7.145e+03
26.5,2.608e+03,6.090e+03,3.956e+02,9.093e+03
28.0,3.345e+03,7.393e+03,3.709e+02,1.111e+04
29.5,4.191e+03,9.415e+03,4.054e+02,1.401e+04
30.9,5.740e+03,1.126e+04,4.790e+02,1.748e+04
32.4,6.762e+03,1.113e+04,4.354e+02,1.832e+04
33.9,8.684e+03,1.303e+04,5.231e+02,2.224e+04
35.4,1.354e+04,1.981e+04,6.643e+02,3.402e+04
36.8,2.137e+04,3.005e+04,8.112e+02,5.224e+04
38.3,2.504e+04,3.459e+04,8.502e+02,6.048e+04
39.8,2.601e+04,3.470e+04,7.821e+02,6.150e+04
41.3,3.061e+04,4.016e+04,8.816e+02,7.165e+04
42.7,3.136e+04,3.928e+04,1.089e+03,7.172e+04
44.2,3.254e+04,3.485e+04,1.105e+03,6.850e+04
45.7,3.346e+04,2.996e+04,1.069e+03,6.448e+04
47.2,3.705e+04,2.850e+04,9.314e+02,6.648e+04
48.6,3.431e+04,2.447e+04,7.622e+02,5.955e+04
50.1,3.427e+04,3.210e+04,8.490e+02,6.723e+04
51.6,2.292e+04,3.963e+04,7.162e+02,6.327e+04
53.0,1.631e+04,4.498e+04,6.196e+02,6.191e+04
54.5,1.496e+04,5.035e+04,6.533e+02,6.596e+04
56.0,1.153e+04,5.099e+04,8.056e+02,6.332e+04
57.5,7.787e+03,4.684e+04,9.176e+02,5.554e+04
58.9,5.346e+03,3.942e+04,8.752e+02,4.564e+04
60.4,5.580e+03,3.417e+04,9.456e+02,4.069e+04
61.9,5.495e+03,2.878e+04,1.139e+03,3.541e+04
63.4,5.715e+03,2.631e+04,1.365e+03,3.339e+04
64.8,7.130e+03,2.990e+04,1.661e+03,3.869e+04
66.3,7.886e+03,3.145e+04,2.122e+03,4.145e+04
67.8,8.487e+03,3.396e+04,3.217e+03,4.567e+04
69.3,9.886e+03,3.876e+04,4.321e+03,5.296e+04
70.7,1.250e+04,4.641e+04,5.670e+03,6.458e+04
72.2,1.382e+04,4.751e+04,7.728e+03,6.907e+04
73.7,1.548e+04,4.685e+04,1.094e+04,7.328e+04
75.2,1.843e+04,5.024e+04,1.653e+04,8.520e+04
76.6,1.759e+04,4.581e+04,2.077e+04,8.417e+04
78.1,1.477e+04,3.733e+04,2.249e+04,7.459e+04
79.6,1.166e+04,2.857e+04,2.324e+04,6.347e+04
