freq,psd_x,psd_y,psd_z,psd_xyz
154.7,3.826e+03,1.690e+03,9.695e+02,6.486e+03
156.2,4.065e+03,1.914e+03,1.111e+03,7.091e+03
157.7,2.988e+03,1.857e+03,1.028e+03,5.872e+03
159.2,2.174e+03,1.592e+03,1.054e+03,4.819e+03
160.6,2.184e+03,2.071e+03,1.401e+03,5.656e+03
162.1,2.133e+03,2.163e+03,1.764e+03,6.060e+03
163.6,1.915e+03,2.039e+03,2.058e+03,6.012e+03
165.1,2.595e+03,1.842e+03,2.359e+03,6.796e+03
166.5,2.795e+03,1.772e+03,2.073e+03,6.639e+03
168.0,2.281e+03,1.650e+03,1.613e+03,5.544e+03
169.5,2.229e+03,1.835e+03,1.440e+03,5.504e+03
171.0,2.241e+03,1.950e+03,1.225e+03,5.416e+03
172.4,2.421e+03,2.175e+03,1.256e+03,5.853e+03
173.9,2.812e+03,2.097e+03,1.306e+03,6.216e+03
175.4,3.064e+03,2.019e+03,1.336e+03,6.420e+03
176.9,4.863e+03,2.173e+03,1.332e+03,8.368e+03
178.3,5.558e+03,2.162e+03,1.550e+03,9.270e+03
179.8,5.081e+03,2.282e+03,1.865e+03,9.228e+03
181.3,4.731e+03,2.416e+03,2.760e+03,9.907e+03
182.8,4.030e+03,2.205e+03,2.631e+03,8.866e+03
184.2,3.335e+03,2.292e+03,2.740e+03,8.367e+03
185.7,3.030e+03,2.301e+03,3.100e+03,8.431e+03
187.2,3.073e+03,2.109e+03,3.142e+03,8.325e+03
188.6,3.760e+03,2.466e+03,5.042e+03,1.127e+04
190.1,4.535e+03,2.492e+03,5.443e+03,1.247e+04
191.6,4.251e+03,1.941e+03,3.140e+03,9.332e+03
193.1,7.095e+03,2.453e+03,4.043e+03,1.359e+04
194.5,7.012e+03,1.808e+03,2.992e+03,1.181e+04
196.0,6.522e+03,1.003e+03,1.746e+03,9.270e+03
197.5,4.844e+03,8.065e+02,1.436e+03,7.087e+03
199.0,3.107e+03,5.524e+02,1.020e+03,4.679e+03
